Id,Data Type,Architecture,Acc.,Prec.,Rec.,F1,Hold. Acc.,Hold. Pre.,Hold. Rec.,Hold. F1,,,,,,,,,,,,,,
k10,combined,1dcnn-t-t,92.13%,89.26%,92.50%,90.85%,68.08%,92.69%,45.33%,60.85%,,,,,,,,,,,,,,
k11,combined,1dcnn-t-mlp,92.50%,90.05%,92.50%,91.25%,67.01%,93.82%,42.52%,58.46%,,,,,,,,,,,,,,
k12,combined,1dcnn-t-rn,92.89%,90.55%,92.85%,91.68%,65.63%,89.13%,42.43%,57.44%,,,,,,,,,,,,,,
i1,tabular,transformer,90.09%,84.83%,93.31%,88.82%,49.05%,21.89%,40.00%,28.30%,,,,,,,,,,,,,,
i2,tabular,mlp,90.43%,86.00%,92.44%,89.08%,49.05%,21.89%,40.00%,28.30%,,,,,,,,,,,,,,
i3,tabular,rn,89.91%,85.45%,92.04%,88.53%,50.95%,32.84%,60.00%,42.45%,,,,,,,,,,,,,,
i4,tabular,1dcnn,90.91%,85.03%,95.27%,89.85%,52.84%,43.79%,80.00%,56.60%,,,,,,,,,,,,,,
j1,image,transformer,84.70%,82.35%,81.31%,81.77%,58.62%,85.47%,29.44%,43.73%,,,,,,,,,,,,,,
j2,image,cnn,81.17%,66.89%,68.98%,67.91%,53.30%,60.28%,21.96%,32.10%,,,,,,,,,,,,,,
b1,combined,baseline - VOPA (cnn_mlp_mlp),68.31%,58.60%,45.02%,47.23%,52.33%,52.89%,25.51%,30.62%,,,,,,,,,,,,,,
b2,image,baseline - Resnet (cnn),57.78%,0.00%,0.00%,0.00%,45.27%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,
b3,image,baseline - MediaPipe,43.99%,41.38%,5.61%,9.88%,43.99%,41.38%,5.61%,9.88%,,,,,,,,,,,,,,
heuristic,tabular,rule based,81.20%,69.40%,99.40%,81.76%,61.90%,65.13%,78.57%,71.22%,,,,,,,,,,,,,,
heuristic_strict,tabular,"rule based, strict 0 error policy",84.80%,73.90%,99%,84.68%,57.60%,64.20%,66.27%,65.23%,,,,,,,,,,,,,,
