Id,Data Type,Architecture,Acc.,Prec.,Rec.,F1,Hold. Acc.,Hold. Pre.,Hold. Rec.,Hold. F1,,,,,,,,,,,,,,
k10,combined,1dcnn-t-t,92.13%,89.26%,92.50%,90.85%,68.08%,92.69%,45.33%,60.85%,,,,,,,,,,,,,,
k10_f,combined,1dcnn-t-t,91.15%,87.33%,91.99%,89.59%,66.33%,87.60%,45.02%,59.27%,,,,,,,,,,,,,,
k10_p,combined,1dcnn-t-t,91.51%,87.32%,92.92%,90.02%,65.06%,89.71%,40.93%,55.96%,,,,,,,,,,,,,,
k10_s,combined,1dcnn-t-t,91.24%,87.09%,93.19%,89.92%,64.30%,88.53%,41.59%,55.92%,,,,,,,,,,,,,,
k11,combined,1dcnn-t-mlp,92.50%,90.05%,92.50%,91.25%,67.01%,93.82%,42.52%,58.46%,,,,,,,,,,,,,,
k11-f,combined,1dcnn-t-mlp,89.73%,84.88%,92.16%,88.24%,66.58%,88.59%,46.11%,59.96%,,,,,,,,,,,,,,
k11-p,combined,1dcnn-t-mlp,90.89%,87.82%,90.58%,89.13%,63.53%,88.63%,38.69%,53.02%,,,,,,,,,,,,,,
k11-s,combined,1dcnn-t-mlp,90.53%,87.93%,90.02%,88.85%,65.78%,90.69%,42.34%,56.85%,,,,,,,,,,,,,,
k12,combined,1dcnn-t-rn,92.89%,90.55%,92.85%,91.68%,65.63%,89.13%,42.43%,57.44%,,,,,,,,,,,,,,
k12-f,combined,1dcnn-t-rn,87.70%,83.51%,88.05%,85.67%,63.77%,85.43%,42.06%,55.37%,,,,,,,,,,,,,,
k12-p,combined,1dcnn-t-rn,90.22%,85.37%,92.25%,88.64%,66.24%,94.32%,40.84%,56.62%,,,,,,,,,,,,,,
k12-s,combined,1dcnn-t-rn,89.65%,86.64%,89.13%,87.78%,63.22%,92.85%,35.61%,50.24%,,,,,,,,,,,,,,
j1,image,transformer,84.70%,82.35%,81.31%,81.77%,58.62%,85.47%,29.44%,43.73%,,,,,,,,,,,,,,
j1-f,image,transformer,76.45%,72.00%,69.13%,69.98%,56.27%,67.06%,37.23%,47.41%,,,,,,,,,,,,,,
j1-p,image,transformer,78.29%,74.65%,72.68%,73.29%,51.15%,60.99%,27.66%,37.35%,,,,,,,,,,,,,,
j1-s,image,transformer,78.07%,74.15%,73.65%,73.69%,54.94%,64.47%,37.29%,46.26%,,,,,,,,,,,,,,
j2,image,cnn,81.17%,66.89%,68.98%,67.91%,53.30%,60.28%,21.96%,32.10%,,,,,,,,,,,,,,
j2-f,image,cnn,85.37%,82.45%,82.18%,82.30%,55.58%,71.21%,31.78%,43.35%,,,,,,,,,,,,,,
j2-p,image,cnn,78.52%,76.80%,66.54%,67.26%,52.89%,75.85%,25.51%,35.42%,,,,,,,,,,,,,,
j2-s,image,cnn,81.55%,81.28%,72.37%,74.91%,53.25%,68.33%,28.13%,38.27%,,,,,,,,,,,,,,
i1,tabular,transformer,90.09%,84.83%,93.31%,88.82%,49.05%,21.89%,40.00%,28.30%,,,,,,,,,,,,,,
i1-f,tabular,transformer,82.18%,80.31%,76.58%,77.98%,48.42%,18.24%,33.33%,23.58%,,,,,,,,,,,,,,
i1-p,tabular,transformer,84.93%,71.53%,87.61%,77.82%,54.73%,54.73%,100.00%,70.74%,,,,,,,,,,,,,,
i1-s,tabular,transformer,88.39%,85.45%,87.55%,86.06%,47.16%,10.95%,20.00%,14.15%,,,,,,,,,,,,,,
i2,tabular,mlp,90.43%,86.00%,92.44%,89.08%,49.05%,21.89%,40.00%,28.30%,,,,,,,,,,,,,,
i2-f,tabular,mlp,82.51%,77.37%,82.88%,79.44%,48.42%,18.24%,33.33%,23.58%,,,,,,,,,,,,,,
i2-p,tabular,mlp,86.99%,78.82%,81.63%,78.44%,47.16%,10.95%,20.00%,14.15%,,,,,,,,,,,,,,
i2-s,tabular,mlp,89.10%,85.17%,84.82%,84.24%,47.16%,10.95%,20.00%,14.15%,,,,,,,,,,,,,,
i3,tabular,rn,89.91%,85.45%,92.04%,88.53%,50.95%,32.84%,60.00%,42.45%,,,,,,,,,,,,,,
i3-f,tabular,rn,69.31%,65.02%,59.41%,61.40%,51.58%,36.49%,66.67%,47.16%,,,,,,,,,,,,,,
i3-p,tabular,rn,65.23%,46.15%,41.42%,40.12%,52.84%,43.79%,80.00%,56.60%,,,,,,,,,,,,,,
i3-s,tabular,rn,56.27%,55.20%,52.43%,43.04%,49.05%,21.89%,40.00%,28.30%,,,,,,,,,,,,,,
i4,tabular,1dcnn,90.91%,85.03%,95.27%,89.85%,52.84%,43.79%,80.00%,56.60%,,,,,,,,,,,,,,
i4_f,tabular,1dcnn,88.55%,83.45%,90.10%,86.65%,48.42%,18.24%,33.33%,23.58%,,,,,,,,,,,,,,
i4_p,tabular,1dcnn,90.25%,84.34%,93.50%,88.66%,50.95%,32.84%,60.00%,42.45%,,,,,,,,,,,,,,
i4_s,tabular,1dcnn,90.63%,85.57%,93.17%,89.18%,52.84%,43.79%,80.00%,56.60%,,,,,,,,,,,,,,
